crawl_date,source_date,title,source,source_time,Sentiment_label,Positive_sentim,Negative_sentim,Neutral_sentim
2023/08/30 20:03,2023-08-30,Tesla under fire after hacker uncovers hidden hands-free driving feature,Investor's Business Daily,8 hours ago,-1.0,0.017933031544089317,0.9217436909675598,0.06032327562570572
2023/08/30 20:03,2023-08-30,5 Things to Know Before Markets Open,Motley Fool,8 hours ago,0.0,0.030069317668676376,0.04052610322833061,0.929404616355896
2023/08/30 20:03,2023-08-30,"Zacks Investment Ideas feature highlights: Tesla, Li Auto, XPeng, NIO and Mobileye",AP Finance,8 hours ago,0.0,0.06314845383167267,0.01108906976878643,0.9257624745368958
2023/08/30 20:03,2023-08-30,3 Stocks I'm Never Selling,The Telegraph,9 hours ago,0.0,0.05075925588607788,0.032885342836380005,0.9163554310798645
2023/08/30 20:03,2023-08-30,Tesla luxury rival Volvo unveils relaxing premium electric model,TheStreet.com,20 hours ago,1.0,0.5827714204788208,0.012082122266292572,0.40514642000198364
2023/08/30 20:03,2023-08-30,Tesla Vs. BYD 2023: TSLA Stock Surges Into Buy Area As Cybertruck Nears; BYD Profit Booms,Zacks,9 hours ago,1.0,0.9123338460922241,0.038413818925619125,0.049252357333898544
2023/08/30 20:03,2023-08-30,Ford retires gas-powered cars in electric vehicle expansion,Motley Fool,10 hours ago,0.0,0.06367772817611694,0.017317572608590126,0.9190047383308411
2023/08/30 20:03,2023-08-30,"What Nvidia, Intel, Google, and Tesla Stock Investors Should Know About Recent AI Updates",Motley Fool,12 hours ago,0.0,0.03146311268210411,0.024128930643200874,0.9444079399108887
2023/08/30 20:03,2023-08-30,It's Elon Musk vs Martin Shkreli in a battle over his X account,Investor's Business Daily,17 hours ago,0.0,0.08962729573249817,0.026319613680243492,0.8840530514717102
2023/08/30 20:03,2023-08-30,"Never Mind FAANG: 1 ""Magnificent Seven"" Stock to Buy Now, and 1 to Avoid Ahead of the Next Nasdaq Bull Market",Oilprice.com,6 hours ago,0.0,0.03792683035135269,0.02524462714791298,0.9368284940719604
2023/08/30 20:03,2023-08-30,"Meta, Microsoft, and Tesla Are Driving Demand for Nvidia's Products",Investopedia,9 hours ago,0.0,0.33036258816719055,0.008399262093007565,0.6612381339073181
2023/08/30 20:03,2023-08-30,Dow Jones Futures Rise: Market Rally Makes Bullish Move; Tesla Leads 9 Stocks In Buy Areas,Investor's Business Daily,6 hours ago,1.0,0.754683256149292,0.11506025493144989,0.1302565038204193
2023/08/30 20:03,2023-08-30,"The College Kid Who Tracked Elon Musk's Jet, Haggled For A Tesla And Formed a 'Friend for Life' Bond With Mark Cuban Returns To Social Media -  Tracking Again",Investopedia,2 hours ago,0.0,0.08557858318090439,0.021452998742461205,0.8929684162139893
2023/08/30 20:03,2023-08-30,Bloomberg Predicts Peak Oil Demand In 2027,TheStreet.com,4 hours ago,0.0,0.35729342699050903,0.01305066142231226,0.6296558976173401
2023/08/30 20:03,2023-08-30,These Are The 6 Best EV Stocks To Buy And Watch Now,Benzinga,3 hours ago,0.0,0.07875420153141022,0.014294501394033432,0.9069512486457825
2023/08/30 20:03,2023-08-30,Tesla: Risks for Further Weakness Are Accelerating,Barrons.com,3 hours ago,-1.0,0.37949562072753906,0.4866615831851959,0.13384272158145905
2023/08/30 20:03,2023-08-30,Tesla Gets a Sell Rating and an Autopilot Safety Letter. Why Neither Really Matter.,Benzinga,2 hours ago,0.0,0.06543082743883133,0.027061929926276207,0.9075073003768921
2023/08/30 20:03,2023-08-30,"These Stocks Are Moving the Most Today: Ambarella, HP Inc., Box, Insulet, Sunrun, Nvidia, and More",Barrons.com,2 hours ago,0.0,0.10087122768163681,0.04181006923317909,0.8573186993598938
2023/08/30 20:03,2023-08-30,The Acceleration Of The EV Revolution Comes With Business Expansion,Bloomberg,1 hour ago,0.0,0.28766965866088867,0.008719753473997116,0.7036105394363403
2023/08/30 20:03,2023-08-30,EV Sales in Europe Surged More Than 50% in July From a Year Earlier,Investor's Business Daily,1 hour ago,1.0,0.9534657597541809,0.019493885338306427,0.027040274813771248
2023/08/30 20:03,2023-08-30,Rivian CEO Gets a Raise. How It Compares With Tesla's Elon Musk Makes.,The Wall Street Journal,12 minutes ago,0.0,0.10821395367383957,0.021035553887486458,0.8707504868507385
2023/08/30 20:03,2023-08-30,Gutsy Tesla ETF Wants to Time Bets on Famously Volatile Shares,Investor's Business Daily,10 minutes ago,0.0,0.1233297735452652,0.08977927267551422,0.786890983581543
2023/08/30 20:03,2023-08-30,These Factors Are Propelling Investor Interest As Tesla Stock Flirts With Buy Signal,Yahoo Finance Video,4 hours ago,1.0,0.8149280548095703,0.017310697585344315,0.16776123642921448
2023/08/30 20:03,2023-08-30,"Dow Jones Erases Gains After Weak Jobs, GDP Data; Tesla Stock Slides On Sell Rating",Barrons.com,4 hours ago,-1.0,0.0132597042247653,0.9606741070747375,0.026066193357110023
2023/08/30 20:03,2023-08-30,Tesla's hidden 'Elon Mode' has NHTSA regulators extremely concerned,Investor's Business Daily,5 hours ago,-1.0,0.020766204223036766,0.9369783401489258,0.042255472391843796
2023/08/30 20:03,2023-08-30,Tesla is allowing no-hands driving with Autopilot for longer periods. US regulators have questions,TheStreet.com,6 hours ago,0.0,0.030746381729841232,0.26214784383773804,0.7071057558059692
